# capture_start_utc=2026-08-29T17:33:14Z
[[DEBUG]] Starting [[SENSOR TASK]]
[SELFTEST] compensate: T=150 (exp 150)  P=69964 (exp 69964)  -> PASS
#BMP180 v1 fw=1.4.0 temp_ms=1000
[[DEBUG]] BMP180 registered on /dev/bmp180-0
S 4019449 300 101646 1
S 4026449 300 101655 1
S 4033448 300 101651 1
S 4040448 300 101655 1
S 4047448 300 101648 1
S 4059447 300 101658 1
S 4066446 300 101663 1
S 4073446 300 101663 1
S 4080446 300 101658 1
S 4087445 300 101657 1
S 4094445 300 101663 1
S 4101444 300 101654 1
S 4108444 300 101663 1
S 4115443 300 101651 1
S 4122443 300 101655 1
S 4129442 300 101651 1
S 4136442 300 101658 1
S 4143442 300 101655 1
S 4150441 300 101651 1
S 4157441 300 101654 1
S 4164440 300 101645 1
S 4171440 300 101649 1
S 4178439 300 101646 1
S 4185439 300 101652 1
S 4192439 300 101651 1
S 4199438 300 101658 1
S 4206438 300 101655 1
S 4213437 300 101649 1
S 4220437 300 101657 1
S 4227436 300 101655 1
S 4234436 300 101654 1
S 4241435 300 101654 1
S 4248435 300 101648 1
S 4255435 300 101654 1
S 4262434 300 101655 1
S 4269434 300 101651 1
S 4276433 300 101655 1
S 4283433 300 101654 1
S 4290432 300 101657 1
S 4297432 300 101651 1
S 4304432 300 101652 1
S 4311431 300 101657 1
S 4318431 300 101651 1
S 4325430 300 101658 1
S 4332430 300 101655 1
S 4339429 300 101658 1
S 4346429 300 101655 1
S 4353428 300 101651 1
S 4360428 300 101654 1
S 4367428 300 101652 1
S 4374427 300 101654 1
S 4381427 300 101654 1
S 4388426 300 101657 1
S 4395426 300 101658 1
S 4402425 300 101657 1
S 4409425 300 101655 1
S 4416425 300 101654 1
S 4423424 300 101657 1
S 4430424 300 101649 1
S 4437423 300 101652 1
S 4444423 300 101652 1
S 4451422 300 101648 1
S 4458422 300 101649 1
S 4465421 300 101652 1
S 4472421 300 101654 1
S 4479421 300 101657 1
S 4486420 300 101655 1
S 4493420 300 101652 1
S 4500419 300 101652 1
S 4507419 300 101652 1
S 4514418 300 101658 1
S 4521418 300 101646 1
S 4528418 300 101654 1
S 4535417 300 101651 1
S 4542417 300 101649 1
S 4549416 300 101657 1
S 4556416 300 101658 1
S 4563415 300 101655 1
S 4570415 300 101660 1
S 4577414 300 101652 1
S 4584414 300 101655 1
S 4591414 300 101649 1
S 4598413 300 101649 1
S 4605413 300 101654 1
S 4612412 300 101652 1
S 4619412 300 101648 1
S 4626411 300 101651 1
S 4633411 300 101654 1
S 4640411 300 101655 1
S 4647410 300 101655 1
S 4654410 300 101654 1
S 4661409 300 101652 1
S 4668409 300 101654 1
S 4675408 300 101654 1
S 4682408 300 101648 1
S 4689407 300 101657 1
S 4696407 300 101655 1
S 4703407 300 101652 1
S 4710406 300 101658 1
S 4717406 300 101658 1
S 4724405 300 101658 1
S 4731405 300 101652 1
S 4738404 300 101648 1
S 4745404 300 101645 1
S 4752404 300 101654 1
S 4759403 300 101655 1
S 4766403 300 101651 1
S 4773402 300 101648 1
S 4780402 300 101654 1
S 4787401 300 101661 1
S 4794401 300 101648 1
S 4801400 300 101651 1
S 4808400 300 101648 1
S 4815400 300 101655 1
S 4822399 300 101654 1
S 4829399 300 101649 1
S 4836398 300 101651 1
S 4843398 300 101646 1
S 4850397 300 101648 1
S 4857397 300 101652 1
S 4864397 300 101654 1
S 4871396 300 101657 1
S 4878396 300 101655 1
S 4885395 300 101655 1
S 4892395 300 101651 1
S 4899394 300 101655 1
S 4906394 300 101658 1
S 4913393 300 101652 1
S 4920393 300 101652 1
S 4927393 300 101654 1
S 4934392 300 101654 1
S 4941392 300 101655 1
S 4948391 300 101658 1
S 4955391 300 101655 1
S 4962390 300 101654 1
S 4969390 300 101654 1
S 4976390 300 101654 1
S 4983389 300 101655 1
S 4990389 300 101658 1
S 4997388 300 101658 1
S 5004388 300 101654 1
S 5011387 300 101649 1
S 5018387 300 101654 1
S 5025386 300 101654 1
S 5032386 300 101657 1
S 5039386 300 101657 1
S 5046385 300 101657 1
S 5053385 300 101657 1
S 5065384 300 101657 1
S 5072384 300 101657 1
S 5079383 300 101648 1
S 5086383 300 101651 1
S 5093382 300 101657 1
S 5100382 300 101657 1
S 5107381 300 101658 1
S 5114381 300 101655 1
S 5121380 300 101657 1
S 5128380 300 101658 1
S 5135380 300 101655 1
S 5142379 300 101657 1
S 5149379 300 101654 1
S 5156378 300 101660 1
S 5163378 300 101660 1
S 5170377 300 101663 1
S 5177377 300 101664 1
S 5184377 300 101658 1
S 5191376 300 101658 1
S 5198376 300 101660 1
S 5205375 300 101661 1
S 5212375 300 101654 1
S 5219374 300 101658 1
S 5226374 300 101655 1
S 5233373 300 101655 1
S 5240373 300 101654 1
S 5247373 300 101655 1
S 5254372 300 101660 1
S 5261372 300 101657 1
S 5268371 300 101649 1
S 5275371 300 101655 1
S 5282370 300 101652 1
S 5289370 300 101655 1
S 5296370 300 101654 1
S 5303369 300 101654 1
S 5310369 300 101661 1
S 5317368 300 101655 1
S 5324368 300 101658 1
S 5331367 300 101654 1
S 5338367 300 101651 1
S 5345366 300 101657 1
S 5352366 300 101654 1
S 5359366 300 101657 1
S 5366365 300 101655 1
S 5373365 300 101658 1
S 5380364 300 101660 1
S 5387364 300 101655 1
S 5394363 300 101660 1
S 5401363 300 101660 1
S 5408363 300 101655 1
S 5415362 300 101654 1
S 5422362 300 101660 1
S 5429361 300 101654 1
S 5436361 300 101649 1
S 5443360 300 101651 1
S 5450360 300 101655 1
S 5457359 300 101651 1
S 5464359 300 101651 1
S 5471359 300 101652 1
S 5478358 300 101649 1
S 5485358 300 101649 1
S 5492357 300 101652 1
S 5499357 300 101654 1
S 5506356 300 101652 1
S 5513356 300 101654 1
S 5520356 300 101648 1
